,filename,date,year,month,day,lon_10,lat_10,lon_30,lat_30,lon_50,lat_50,lon_70,lat_70,lon_90,lat_90
5593,ice_conc_nh_ease2-250_cdr-v2p0_199901011200.nc,1999-01-01,1999,1,1,18.706803702289367,77.87875689375615,18.07172014205078,78.10039037013242,19.262679374691444,78.22512236315703,22.01719999697511,78.91881529271555,23.483204003942735,79.35785012189712
5594,ice_conc_nh_ease2-250_cdr-v2p0_199901021200.nc,1999-01-02,1999,1,2,18.97509203462751,77.8448011423928,20.389800249138972,77.91263925775809,20.419420701795172,78.19531166243192,21.96717942970598,78.53744235756288,23.47084723847626,79.33379892964132
5595,ice_conc_nh_ease2-250_cdr-v2p0_199901031200.nc,1999-01-03,1999,1,3,35.09681400915432,65.64052420590632,20.18825398340008,77.94410433956764,19.098257842756613,78.19494828261732,19.559634763709987,78.37068966818954,23.26823901014331,79.42068142502805
5596,ice_conc_nh_ease2-250_cdr-v2p0_199901041200.nc,1999-01-04,1999,1,4,20.249275755302687,77.5963179777908,20.49520408743687,77.87333120892515,19.174616726552095,78.15442493418513,19.418083127833743,78.35523349978995,23.34875190030381,79.41750161232501
5597,ice_conc_nh_ease2-250_cdr-v2p0_199901051200.nc,1999-01-05,1999,1,5,35.09681400915432,65.64052420590632,20.447812753586895,77.93428685213733,18.937144678403502,78.153126391049,19.483222960642607,78.37243059087648,23.14592458784062,79.38812205258287
5598,ice_conc_nh_ease2-250_cdr-v2p0_199901061200.nc,1999-01-06,1999,1,6,19.903514498089255,77.69942550844267,20.273791075862864,77.93423383562948,20.522858407300575,78.16564908117964,19.27875115182182,78.55587943268128,22.83655175879882,79.41297794736602
5599,ice_conc_nh_ease2-250_cdr-v2p0_199901071200.nc,1999-01-07,1999,1,7,19.83350875850062,77.66751589112724,20.116794993243133,77.96743845475285,20.44896089535682,78.18180644001897,21.408408881942883,78.59940036872835,23.207215021744553,79.22967527190805
5600,ice_conc_nh_ease2-250_cdr-v2p0_199901081200.nc,1999-01-08,1999,1,8,35.09681400915432,65.64052420590632,18.49133348381038,77.96320925969474,18.96617383175095,78.12720449132834,19.428925867818183,78.36410365102438,23.189316981156576,79.4344507172652
5601,ice_conc_nh_ease2-250_cdr-v2p0_199901091200.nc,1999-01-09,1999,1,9,19.49960761895086,77.61152202192675,18.528954198964083,77.92144147623488,19.128651209513706,78.09121870091805,19.56394165363719,78.40202491886632,23.255478152379908,79.46097658506737
5602,ice_conc_nh_ease2-250_cdr-v2p0_199901101200.nc,1999-01-10,1999,1,10,19.613831885396866,77.52982145122105,20.387355473234656,77.72262733823511,19.122049814867854,78.01799659528633,19.32809019930673,78.34396806420348,23.278459142282404,79.24301414637355
5603,ice_conc_nh_ease2-250_cdr-v2p0_199901111200.nc,1999-01-11,1999,1,11,19.714549551181722,77.48198800760248,19.903961981323636,77.76528067129674,18.865643903774274,78.04542540083438,19.35253554707927,78.33350532793385,23.074195848947955,78.78813656138962
5604,ice_conc_nh_ease2-250_cdr-v2p0_199901121200.nc,1999-01-12,1999,1,12,18.47021163393135,77.79572835344992,35.09681400915432,65.64052420590632,18.975801265869094,78.182543353833,21.352442974800336,78.58101262259284,24.091581391336167,79.23868061462747
5605,ice_conc_nh_ease2-250_cdr-v2p0_199901131200.nc,1999-01-13,1999,1,13,18.54434636094007,77.9264947873014,18.4810341869962,78.11160434699758,18.976460830975473,78.31415158345816,19.345733305802288,78.49234648939655,23.366005841143245,79.32245784370822
5606,ice_conc_nh_ease2-250_cdr-v2p0_199901141200.nc,1999-01-14,1999,1,14,18.19014578037448,78.00458521748627,18.474550028848277,78.16891607798414,19.26164416903811,78.31017820355447,21.70159851000279,78.52930577887108,23.732198622287363,79.2205673493932
5607,ice_conc_nh_ease2-250_cdr-v2p0_199901151200.nc,1999-01-15,1999,1,15,17.852254726885008,78.01361929655852,18.26021882318786,78.26661170221837,35.09681400915432,65.64052420590632,21.558135996560388,78.56608420264143,23.910146734284456,79.48646822815257
5608,ice_conc_nh_ease2-250_cdr-v2p0_199901161200.nc,1999-01-16,1999,1,16,17.841344065247345,78.21239001831236,35.09681400915432,65.64052420590632,19.11224872161854,78.47147003167699,21.584252933009076,78.61204910798435,24.268657774897452,79.5652943703425
5609,ice_conc_nh_ease2-250_cdr-v2p0_199901171200.nc,1999-01-17,1999,1,17,17.889537733734503,78.42266068611654,35.09681400915432,65.64052420590632,19.35352844424181,78.73066794889957,21.586724151332906,79.24380999614154,24.496054444048426,79.7598420266284
5610,ice_conc_nh_ease2-250_cdr-v2p0_199901181200.nc,1999-01-18,1999,1,18,18.11833834083994,78.64064192806234,19.06577458809634,78.80501269999172,19.345088339103746,78.93515729277956,19.173174013011806,79.38641296557077,25.282266766835704,79.98285019102049
5611,ice_conc_nh_ease2-250_cdr-v2p0_199901191200.nc,1999-01-19,1999,1,19,18.314487603508148,78.55542532866109,35.09681400915432,65.64052420590632,35.09681400915432,65.64052420590632,21.548725044909553,79.28803362511776,24.90194981725634,80.0959345212227
5612,ice_conc_nh_ease2-250_cdr-v2p0_199901201200.nc,1999-01-20,1999,1,20,18.91502811622865,78.36263973582577,18.889048021774258,79.06759341274892,19.210500794421968,79.29702245650196,21.751250266632606,79.41021598218883,24.76089571677607,80.06962616554758
5613,ice_conc_nh_ease2-250_cdr-v2p0_199901211200.nc,1999-01-21,1999,1,21,18.646311549584322,78.63241950754522,19.4843076153559,79.12904066417072,19.44116180144821,79.29408018217103,21.775123431473958,79.43363597012707,24.653260306884157,80.0967484301385
