,filename,date,year,month,day,lon_10,lat_10,lon_30,lat_30,lon_50,lat_50,lon_70,lat_70,lon_90,lat_90
351,ice_conc_nh_ease2-250_cdr-v2p0_198101011200.nc,1981-01-01,1981,1,1,18.273275369014314,76.59953161915325,17.646542973513547,77.60205966484112,19.378735219122063,77.80786266684586,18.74356504831895,78.32321740448704,23.218969122022248,78.83593942252054
352,ice_conc_nh_ease2-250_cdr-v2p0_198101031200.nc,1981-01-03,1981,1,3,18.28484745981898,76.70678792520414,17.799197352159297,77.29019357062047,20.58628469730441,77.48857709428574,18.525340375558738,78.13335510929014,23.16310400088969,79.2667814080255
353,ice_conc_nh_ease2-250_cdr-v2p0_198101051200.nc,1981-01-05,1981,1,5,18.416453391430604,76.2697654099095,18.857342951075527,76.56355287403474,18.632401354796855,77.1218883863168,19.033936108162518,77.82015086648018,19.08650801080558,78.67069415527983
354,ice_conc_nh_ease2-250_cdr-v2p0_198101071200.nc,1981-01-07,1981,1,7,20.643105563121452,75.60711873866816,20.028685892216046,76.09137792113474,19.758605207003395,76.46076340144283,19.175013397072693,77.02590059420325,22.032772947920936,78.31267919576375
355,ice_conc_nh_ease2-250_cdr-v2p0_198101091200.nc,1981-01-09,1981,1,9,19.73405785951306,76.30496256138336,18.699529245672213,76.88077898490184,18.45416418993205,77.59693301888126,19.065331913358257,78.15731250626193,22.588525698078545,78.89216294521594
356,ice_conc_nh_ease2-250_cdr-v2p0_198101111200.nc,1981-01-11,1981,1,11,19.282548090055176,76.08944422123703,19.141488582802985,76.60963558215462,19.24395667922835,77.02347310421345,19.259234117640304,77.53317552930257,22.248845280679767,78.28226654393387
357,ice_conc_nh_ease2-250_cdr-v2p0_198101131200.nc,1981-01-13,1981,1,13,19.660392597111002,75.9606308810211,19.023280146808492,76.44283022725806,19.030022968782983,76.86215344013182,19.24040076395059,77.29267881794269,23.08398301893339,78.85016129631269
358,ice_conc_nh_ease2-250_cdr-v2p0_198101151200.nc,1981-01-15,1981,1,15,19.671830209016065,75.72882749414275,19.564049728256613,76.12519534710411,19.876344934327605,76.45363361633959,19.5925782861498,76.97034716186411,22.30837996111897,78.69059507959562
359,ice_conc_nh_ease2-250_cdr-v2p0_198101171200.nc,1981-01-17,1981,1,17,19.441225375915586,75.6154393452992,19.453053433821655,76.02275405356582,19.67089626213704,76.32394383435293,19.151335253360394,76.99205989412907,26.250527712459913,77.7268557390259
360,ice_conc_nh_ease2-250_cdr-v2p0_198101191200.nc,1981-01-19,1981,1,19,20.148257688096045,75.91378671815701,19.688923696323315,76.35322500345058,19.77539170729614,76.70840583434008,19.702936138379126,77.19639241340654,19.11470242927021,77.77087642590595
361,ice_conc_nh_ease2-250_cdr-v2p0_198101211200.nc,1981-01-21,1981,1,21,19.877447008740393,75.9834675900336,35.09681400915432,65.64052420590632,35.09681400915432,65.64052420590632,19.232882944685095,77.24253416790751,37.3363795933907,63.98063929437621
362,ice_conc_nh_ease2-250_cdr-v2p0_198101231200.nc,1981-01-23,1981,1,23,35.09681400915432,65.64052420590632,35.09681400915432,65.64052420590632,18.663013191651384,77.01277103691291,19.46612218419731,77.27452737922744,18.76061631097414,78.1411603490311
363,ice_conc_nh_ease2-250_cdr-v2p0_198101251200.nc,1981-01-25,1981,1,25,19.78418325929787,75.69539161451223,19.478444886359153,76.23701295199218,19.59641691864368,76.66680113221848,19.300443550286698,77.06208976263265,18.828851490545922,77.86087854222359
