,filename,date,year,month,day,lon_10,lat_10,lon_20,lat_20,lon_30,lat_30,lon_40,lat_40,lon_50,lat_50,lon_60,lat_60,lon_70,lat_70,lon_80,lat_80,lon_90,lat_90
4863,ice_conc_nh_ease2-250_cdr-v2p0_199701011200.nc,1997-01-01,1997,1,1,21.03322274958432,77.48698143070953,21.32615789993182,77.71488236202222,21.65452884772699,77.73651794150446,21.519519702324867,77.82324647687275,21.718480062259264,77.81001501401636,22.295387875384886,77.91556372202739,22.46001121333113,77.99898517980304,22.454246256717457,78.07312421728689,23.120047315404502,81.1881836218208
4864,ice_conc_nh_ease2-250_cdr-v2p0_199701021200.nc,1997-01-02,1997,1,2,21.44506710574365,77.4201824622536,21.54997666390724,77.48453590671433,21.51518685227711,77.68994450924181,21.65253363442341,77.73779050970046,21.773557141642154,77.7612459802016,22.031819350821173,77.7736920573873,22.470956919368717,77.91261758762101,22.999866707661624,77.91329926384536,25.185775831647604,78.68096108609558
4865,ice_conc_nh_ease2-250_cdr-v2p0_199701031200.nc,1997-01-03,1997,1,3,21.00529089691062,77.40537781569265,21.404733899108074,77.48281330221393,21.623288429074773,77.55188296121064,21.797281712036053,77.60754242551823,21.77357357381581,77.71001584571492,22.123220134738073,77.6715432772504,22.543586621490757,77.68966721073994,23.053451974540664,77.80743826663567,25.313199471922324,78.21771752935982
4866,ice_conc_nh_ease2-250_cdr-v2p0_199701041200.nc,1997-01-04,1997,1,4,21.622559980380743,77.29294991555989,21.831074946573526,77.39151778293014,21.545057067858657,77.55344561055954,21.93709589777951,77.60550000606865,21.929743159448662,77.67728432234404,22.348150565955166,77.61800517339474,22.254264618670092,77.67123839273111,22.69921620396422,77.77727730774528,24.046762726131032,77.97934217973793
4867,ice_conc_nh_ease2-250_cdr-v2p0_199701051200.nc,1997-01-05,1997,1,5,21.01081918072395,77.30465404384364,21.13387758110362,77.4078391631765,21.750430400787113,77.51882681556407,21.675751416630817,77.60845570032164,21.8274061344259,77.64427150342999,22.036405253633596,77.65404227503421,22.07053678575222,77.6943351470255,22.511917122682252,77.7644110074691,23.153718213321568,77.79268395421093
4868,ice_conc_nh_ease2-250_cdr-v2p0_199701061200.nc,1997-01-06,1997,1,6,21.52478418779173,77.4205047970506,21.833725827098437,77.51756254143648,21.791660546271043,77.60850320605999,22.029891983818434,77.6771628380899,22.13000670525403,77.67875594660117,22.12665066868114,77.71496771020871,22.60403608899485,77.74913960675259,22.68549039556279,77.85875440533643,23.11092729801079,77.75183995398382
4869,ice_conc_nh_ease2-250_cdr-v2p0_199701071200.nc,1997-01-07,1997,1,7,21.46569431946638,77.46702664747028,21.73995627600216,77.52414361629398,21.94081735556481,77.56172019795274,21.89206002066071,77.67204401359422,22.02477460551958,77.69029315269016,22.14299479148886,77.69982482408034,22.070757080268137,77.78875922441273,22.44523170088072,77.85788879071706,22.8023833583196,77.93521738792958
4870,ice_conc_nh_ease2-250_cdr-v2p0_199701081200.nc,1997-01-08,1997,1,8,21.764974127421155,77.41884219295947,22.049386493143675,77.49367754520819,22.034097092315278,77.53566987713363,22.19029931972886,77.60027719754073,22.118240972068993,77.72832989025277,22.399078546245374,77.73265236196951,22.57010518590609,77.7604134150333,22.838645653582176,77.87994020182798,23.006367122688513,78.74641204411151
4871,ice_conc_nh_ease2-250_cdr-v2p0_199701091200.nc,1997-01-09,1997,1,9,21.677886514017427,77.32262240104296,21.886712178443922,77.41213629660285,21.944230352560915,77.49203509678019,21.95626217940282,77.58345962449945,22.25320135132605,77.6187903453629,22.18044068497621,77.66695736750617,22.578733416504935,77.64178317419602,23.49438469059647,77.85519149236201,25.435519107992945,78.8568819509078
4872,ice_conc_nh_ease2-250_cdr-v2p0_199701101200.nc,1997-01-10,1997,1,10,19.83285314305297,77.31422846616958,20.379701733261058,77.41015636064367,20.436999102135594,77.48543561682236,22.54546364680803,77.49275076043634,21.97892870034795,77.61948391680214,21.969954057524905,77.66554836289525,22.435689845279935,77.69461571322675,22.232217560029294,77.8981992864596,25.483128363074236,79.58502231287754
4873,ice_conc_nh_ease2-250_cdr-v2p0_199701111200.nc,1997-01-11,1997,1,11,20.666757386995023,77.22342520129982,21.174389658019198,77.30687565147402,20.95701291034921,77.39688691038258,22.058930509317218,77.48314204074802,21.690432181113742,77.63116657206693,21.841838544085697,77.67840541402482,22.09465973229072,77.78656265472723,22.723481660533036,77.83798625297395,23.66245180530151,79.77092062068019
4874,ice_conc_nh_ease2-250_cdr-v2p0_199701121200.nc,1997-01-12,1997,1,12,20.88366964164014,77.19451297570899,20.968819552361083,77.26943028755447,21.05327055216602,77.36727489271766,20.87729448646254,77.46783500302081,20.529891378527964,77.58104408858789,21.643343110611447,77.70826502483676,21.94117381816956,77.72069145663608,22.921944477496538,77.82146311324377,23.254583560145157,78.78011840726361
4875,ice_conc_nh_ease2-250_cdr-v2p0_199701131200.nc,1997-01-13,1997,1,13,22.888025627544533,77.14159338579422,22.47586878509324,77.34000958581943,22.80868075125089,77.39968003345128,22.568141944465882,77.53447855899016,22.331466319711854,77.65258094167868,22.18886423652852,77.76271583786027,22.343248425417592,77.7899039488326,22.598800273822587,77.83291276932499,23.924621379655957,78.82556690756245
4876,ice_conc_nh_ease2-250_cdr-v2p0_199701141200.nc,1997-01-14,1997,1,14,22.3182838173189,77.43952597188914,21.696900004882057,77.71820689999564,21.887496149723518,77.71298568207781,21.91990498240028,77.79802452539045,22.09930961310353,77.91764843619397,22.19628327533517,77.99568176649954,22.475156622991435,78.05754813390256,23.233893312019088,78.37268139775057,24.658247778751946,79.10120152319176
4877,ice_conc_nh_ease2-250_cdr-v2p0_199701151200.nc,1997-01-15,1997,1,15,21.615262404292654,77.5146430952025,21.428722438339054,77.66762430180817,21.620841345543244,77.66029770302808,21.752639299234502,77.81924694299319,22.026073716057464,77.83899152545374,22.419061410138415,77.86965972833191,23.605704622999603,78.09856065626141,23.883950042658626,78.16972604205937,23.32381046928576,80.58539572334792
4878,ice_conc_nh_ease2-250_cdr-v2p0_199701161200.nc,1997-01-16,1997,1,16,21.382486600221277,77.45537118657947,21.686960426768472,77.50297665902694,21.71527937398978,77.62917978596097,22.105908037634556,77.64959538227077,22.00985964189778,77.74735773622396,22.6624946817063,77.71767300809599,22.54969470970585,77.7976652328793,22.968782895121358,78.13906374909114,25.00218852808172,79.27632231954095
4879,ice_conc_nh_ease2-250_cdr-v2p0_199701171200.nc,1997-01-17,1997,1,17,21.078396120066397,77.34372946438036,21.650103913248266,77.34366679932558,21.764035944268453,77.54052877452179,22.049028544978523,77.57591742645315,21.904047275462837,77.65964286735986,21.993090333204847,77.74609165587728,22.321855781867875,77.83969811784402,22.163868859428632,77.85781511184881,24.29125843248679,78.63901261978533
4880,ice_conc_nh_ease2-250_cdr-v2p0_199701181200.nc,1997-01-18,1997,1,18,20.78970739787038,77.3620533300878,21.59590817857728,77.36383289116537,21.914335274661184,77.45962674564184,22.23622942781585,77.56984716046823,21.988813875766294,77.71280396151846,22.415191345069584,77.67590796930787,22.41658619161133,77.73515813384506,22.94670767014397,77.7957157482282,23.777370541821202,78.10394500397517
4881,ice_conc_nh_ease2-250_cdr-v2p0_199701191200.nc,1997-01-19,1997,1,19,22.723908427688794,77.18453480869191,22.752663679450023,77.35239148961597,22.66243446845967,77.46218091296355,22.534288762659987,77.61103132123633,22.745440625092684,77.56789545748082,22.396799512293345,77.70473039031475,22.606682975203796,77.74055698100193,22.699456975999066,77.84430233647905,23.84892663938002,78.4947649479388
4882,ice_conc_nh_ease2-250_cdr-v2p0_199701201200.nc,1997-01-20,1997,1,20,21.673108498039408,77.3422697913805,21.667778801424348,77.53822020436006,22.35421865314358,77.54532748109553,22.075068005932238,77.69173724410788,22.00215545876975,77.77376950861527,22.234369603850315,77.77450115520956,22.44083653750995,77.79291938926345,22.71010545002248,77.87865161515887,22.439013618183484,78.76267779147851
4883,ice_conc_nh_ease2-250_cdr-v2p0_199701211200.nc,1997-01-21,1997,1,21,22.00117755986966,77.26349085740776,21.660008276474784,77.42917689066714,21.613008283077953,77.53815726156182,22.202677898817832,77.65489998624685,22.098986089319535,77.70323916604059,22.166269224882647,77.81115272303336,22.371165047856795,77.78222471786093,22.52991398780086,77.86010850772378,23.54873034476404,79.35403940024666
4884,ice_conc_nh_ease2-250_cdr-v2p0_199701221200.nc,1997-01-22,1997,1,22,20.52475682259756,77.32461500530663,20.900709123642763,77.41499246944443,21.582161368479827,77.47450541738507,21.613234028570368,77.51686354875893,21.494160376588074,77.65321797096472,21.628529522095143,77.68969157547036,22.121078173295054,77.76968978222526,23.152159969307004,77.79425714471508,24.39598918000207,78.16812165308869
4885,ice_conc_nh_ease2-250_cdr-v2p0_199701231200.nc,1997-01-23,1997,1,23,20.996316757182328,77.27223622721581,20.687894357948544,77.36577093857537,20.971066789661457,77.47363335491652,20.88868780056488,77.51393245227199,20.928628075984108,77.63704217803497,21.274174180760294,77.65815542767304,22.006082613981686,77.71723663418987,22.596451439248995,77.7886312562792,23.72410403773455,78.24906387327323
4886,ice_conc_nh_ease2-250_cdr-v2p0_199701241200.nc,1997-01-24,1997,1,24,22.32301301482233,77.19045692517611,22.391115060258013,77.31417037564408,22.622591779281123,77.3880229520797,22.22289429884949,77.53261773758902,22.264954656976183,77.61904970890922,22.218714917399392,77.71514457691441,22.394399193313,77.6831335593831,22.653196877432446,77.70767936469755,24.911105123674826,78.01913656138908
4887,ice_conc_nh_ease2-250_cdr-v2p0_199701251200.nc,1997-01-25,1997,1,25,22.71068903668031,77.35841738488446,23.085920083390665,77.43219929834181,23.05670160929054,77.55245017844395,22.88134067331598,77.63613072657252,22.639056790992917,77.73193710785539,22.652130307379768,77.83502804601763,22.751083013762198,77.96251882294108,24.094976067164016,78.0277804294289,25.215717240881364,79.47460257208884
4888,ice_conc_nh_ease2-250_cdr-v2p0_199701261200.nc,1997-01-26,1997,1,26,22.166161637395323,77.69816263321167,22.392256070337567,77.81172072634342,22.33904380792597,77.83187150221316,22.344619001014035,77.9529783619845,22.344811898129148,78.06310469072305,22.57569295672137,78.14646735371373,22.47413546707093,78.20677148651441,24.548399602105672,78.11718303627971,13.047815522286028,83.85576659253726
4889,ice_conc_nh_ease2-250_cdr-v2p0_199701271200.nc,1997-01-27,1997,1,27,22.06848478010856,77.59519984466118,22.242622591656282,77.77501893420416,22.24578664394769,77.88156021708892,22.239242175387215,77.9749424235995,22.336809526812342,77.99768992618557,22.692988854761655,78.05205402049377,22.445117912452773,78.17846626728495,24.656610954405902,78.25313771747322,15.421076915221162,81.93459541905757
4890,ice_conc_nh_ease2-250_cdr-v2p0_199701281200.nc,1997-01-28,1997,1,28,21.68804427823303,77.51899791495207,22.016269114552337,77.67338240377485,22.10123608402399,77.7275492190302,22.185005993716857,77.87752202433438,22.34704363018471,77.89920556349965,22.32401386103257,77.95819252448757,22.794604573137157,78.045123573734,23.991011273914925,78.01584399452788,23.47751209668308,79.17869571994518
4891,ice_conc_nh_ease2-250_cdr-v2p0_199701291200.nc,1997-01-29,1997,1,29,21.9750041569838,77.37483061405192,21.959541459655473,77.49247833525817,21.788433352783915,77.6983251121763,21.904904651837825,77.74209863780995,22.028640299028243,77.86393060740767,22.413501969694657,77.8542554847894,22.60400139003386,77.98877837864505,24.25306099608272,78.18571799386424,27.088718534972607,77.25889186223414
4892,ice_conc_nh_ease2-250_cdr-v2p0_199701301200.nc,1997-01-30,1997,1,30,21.9535474707526,77.48184927305213,22.045655075056395,77.54602058897109,21.916339725174144,77.68848024707748,22.013594585085162,77.83299819611848,22.106714611375246,77.83084115692667,21.974462142674955,77.98513671210112,22.299661010058642,77.92870716405581,23.146127964615346,78.19590613836354,27.944488133735245,80.44182844227072
4893,ice_conc_nh_ease2-250_cdr-v2p0_199701311200.nc,1997-01-31,1997,1,31,21.469656310287156,77.37024900270292,21.628499921581327,77.4743437326934,21.4993872536389,77.5839287782218,21.74699432749171,77.66556042690878,21.70584078273473,77.73972571473809,21.754117073717424,77.8089129919946,22.247795490780636,77.89141477068974,24.570062112658967,78.82498105292466,25.02357564739099,80.50218714087316
4894,ice_conc_nh_ease2-250_cdr-v2p0_199702011200.nc,1997-02-01,1997,2,1,21.494540687254183,77.3702718365857,21.64620242938922,77.53752133203034,21.837503799560793,77.59342356995312,21.95386110713862,77.68687922356199,22.067764038599364,77.75708500975861,22.30010196521003,77.80988979963337,22.4934164260743,77.83688143791854,23.010039201983595,77.93488047876092,26.28949562821285,79.14029921252036
4895,ice_conc_nh_ease2-250_cdr-v2p0_199702021200.nc,1997-02-02,1997,2,2,21.573725064977378,77.30879447256311,21.91351356527063,77.43453868028989,21.801899057011585,77.56195141848839,22.195791189480303,77.63848413562911,22.22272420331147,77.67875355687083,22.209152291541315,77.78606464197006,22.63166374206597,77.75842396216274,23.16678226777452,77.77252221925662,24.1246482202457,79.64451935767354
4896,ice_conc_nh_ease2-250_cdr-v2p0_199702031200.nc,1997-02-03,1997,2,3,21.855858244660382,77.3641069133003,22.092706050228568,77.46642154753653,22.2519394844696,77.53494251029898,22.26185714336136,77.63167504476604,22.21471419632727,77.69038388005947,22.539978933688964,77.73171862587088,22.50556440199965,77.79253858709524,24.860780616556834,78.01944795589114,26.983164934698834,78.58048474811771
4897,ice_conc_nh_ease2-250_cdr-v2p0_199702041200.nc,1997-02-04,1997,2,4,21.755318120371584,77.3562759667035,21.856552763910987,77.45342520289391,22.16746551547975,77.46229237778203,22.080288028086457,77.61402685968784,22.376790316407405,77.6066688978122,22.09106775464994,77.76772095277774,22.274167171071376,77.73545411047401,23.603694954183,77.77657873750427,25.235056741661733,78.60900993591399
4898,ice_conc_nh_ease2-250_cdr-v2p0_199702051200.nc,1997-02-05,1997,2,5,20.11691839797453,77.34840241034625,20.160510893804307,77.44575596642731,21.674400479602483,77.46462312902824,21.921002084817104,77.50965947342196,21.80884292459235,77.63259368106827,21.92886989319607,77.6294962501821,21.85927166738382,77.73237879379501,23.173971995450405,77.7458961977266,23.765144125886493,78.76718043651499
4899,ice_conc_nh_ease2-250_cdr-v2p0_199702061200.nc,1997-02-06,1997,2,6,19.769517440450453,77.41425515097448,20.13807042434159,77.44659693104886,21.725282690022176,77.42820240286957,21.70939633760337,77.49739263945483,22.01524875060208,77.52365438966139,22.275824429247656,77.5666652369372,22.25197367403853,77.64655192192656,22.268048674008735,77.7552834533073,24.88691617504753,78.42068161779376
4900,ice_conc_nh_ease2-250_cdr-v2p0_199702071200.nc,1997-02-07,1997,2,7,19.571623009410835,76.19305071902414,20.706981692924746,76.17345049884224,19.86233679694326,77.54716401501946,21.470826940155995,77.52727730592296,21.394175708997516,77.58523842467105,22.28985174368792,77.56158807788476,22.3602750329977,77.669923829532,22.400745411912112,77.81171073110171,24.277963823220436,78.47100722897675
4901,ice_conc_nh_ease2-250_cdr-v2p0_199702081200.nc,1997-02-08,1997,2,8,20.066108705448155,76.0601738556212,20.36426201902565,76.2009908892637,19.87594465599246,77.5568518674811,21.361854747161967,77.53038567972952,21.144115853632343,77.62756009796526,22.34680812479053,77.5506341956055,22.082527131354887,77.65595716899531,22.236686174588243,77.79566622031348,25.00096793306868,78.35189526545601
4902,ice_conc_nh_ease2-250_cdr-v2p0_199702091200.nc,1997-02-09,1997,2,9,19.539658377955718,77.3953739147185,19.62492077435042,77.5131421641602,20.07096076681815,77.6046830917175,21.418717142925498,77.55620191920384,21.194003630922797,77.70070043019001,22.043109167948113,77.63203633300624,22.21037780600767,77.75069390616785,22.48881113309002,77.80490635871996,26.896566209548933,78.92883617898791
